th,roman,en,de,cat
กินข้าว,gin khao,eat (a meal),essen (Mahlzeit),Alltag
ไปทำงาน,bpai tham ngaan,go to work,zur Arbeit gehen,Alltag
กลับบ้าน,klap baan,go home,nach Hause gehen,Alltag
อาบน้ำ,aap nam,take a shower,duschen,Alltag
แปรงฟัน,praeng fan,brush teeth,Zaehne putzen,Alltag
ล้างมือ,lang mue,wash hands,Haende waschen,Alltag
ทำอาหาร,tham ahaan,cook,kochen,Alltag
ซักผ้า,sak phaa,do laundry,waesche waschen,Alltag
ทำความสะอาด,tham khwam sa-aat,clean,putzen,Alltag
เปิดไฟ,poet fai,turn on light,Licht einschalten,Alltag
ปิดไฟ,pit fai,turn off light,Licht ausschalten,Alltag
ชาร์จโทรศัพท์,chaat thorasap,charge phone,Handy laden,Alltag
ส่งข้อความ,song khokhwam,send message,Nachricht senden,Alltag
รูปถ่าย,ruup thaai,photo,Foto,Alltag
เพลง,phleng,song,Lied,Alltag
หนัง,nang,movie,Film,Alltag
หนังสือ,nang sue,book,Buch,Alltag
เงินทอน,ngoen thon,change (money),Wechselgeld,Alltag
เปิดบัญชี,poet banchi,open an account,Konto eroeffnen,Alltag
ถอนเงิน,thon ngoen,withdraw money,Geld abheben,Alltag
ฝากเงิน,faak ngoen,deposit money,Geld einzahlen,Alltag
ค่าเช่า,khaa chao,rent,Miete,Alltag
บิล,bin,bill,Rechnung,Alltag
ค่าไฟ,khaa fai,electricity bill,Stromrechnung,Alltag
ค่าน้ำ,khaa nam,water bill,Wasserrechnung,Alltag
สัญญาณ,sanyan,signal,Signal,Alltag
ไวไฟ,wifi,Wi-Fi,WLAN,Alltag
รหัสผ่าน,rahat phan,password,Passwort,Alltag
แอป,app,app,App,Alltag
แผนที่,phaen thii,map,Karte,Alltag
ที่อยู่,thii yuu,address,Adresse,Alltag
กุญแจ,kunjae,key,Schluessel,Alltag
ล็อก,lok,lock,abschliessen,Alltag
เปิดประตู,poet pratuu,open the door,Tuer oeffnen,Alltag
ปิดประตู,pit pratuu,close the door,Tuer schliessen,Alltag
น้ำร้อน,nam ron,hot water,heisses Wasser,Alltag
น้ำเย็น,nam yen,cold water,kaltes Wasser,Alltag
ผ้าเช็ดตัว,phaa chet tua,towel,Handtuch,Alltag
สบู่,sabuu,soap,Seife,Alltag
ยาสีฟัน,yaa sii fan,toothpaste,Zahnpasta,Alltag
แชมพู,shaemphuu,shampoo,Shampoo,Alltag
ครีม,khriim,cream,Creme,Alltag
ยา,yaa,medicine,Medikament,Alltag
ร้านสะดวกซื้อ,raan sadueak sue,convenience store,Kiosk/7-11,Alltag
ซูเปอร์มาร์เก็ต,supermarket,supermarket,Supermarkt,Alltag
รถติด,rot tit,traffic jam,Stau,Alltag
ไฟแดง,fai daeng,red light,Rotlicht,Alltag
ปั๊มน้ำมัน,pam namman,gas station,Tankstelle,Alltag
เติมน้ำมัน,toem namman,refuel,tanken,Alltag
ใบขับขี่,bai khap khii,driver's license,Fuehrerschein,Alltag
หมวกกันน็อก,muak kan nok,helmet,Helm,Alltag
ฝนตกหนัก,fon tok nak,heavy rain,starker Regen,Alltag
ร่ม,rom,umbrella,Regenschirm,Alltag
ตากผ้า,taak phaa,hang laundry,Waesche aufhaengen,Alltag
ลืม,luem,forget,vergessen,Alltag
จำได้,jam dai,remember,sich erinnern,Alltag
เร็วๆนี้,reo reo nii,soon,bald,Alltag
นาน,naan,long time,lange,Alltag
พร้อม,phrom,ready,bereit,Alltag
ไม่พร้อม,mai phrom,not ready,nicht bereit,Alltag
ร้อนมาก,ron mak,very hot,sehr heiss,Alltag
หนาว,nao,cold (weather),kalt,Alltag
หิวมาก,hiu mak,very hungry,sehr hungrig,Alltag
อิ่มแล้ว,im laeo,I'm full,ich bin satt,Alltag
กระหายน้ำ,kra-haai nam,thirsty,durstig,Alltag
ไปเที่ยว,bpai thiao,go sightseeing,ausfluegen,Alltag
พักผ่อน,phak phon,relax,ausruhen,Alltag
ทำธุระ,tham thura,run errands,Besorgungen machen,Alltag
พบหมอ,phop mo,see a doctor,zum Arzt,Alltag
ปวดท้อง,puat thong,stomachache,Bauchschmerzen,Alltag
ไอ,ai,cough,husten,Alltag
เจ็บคอ,jep kho,sore throat,Halsschmerzen,Alltag
น้ำมูก,nam muuk,runny nose,Schnupfen,Alltag
ร้านยา,raan yaa,pharmacy,Apotheke,Alltag
ฉีดวัคซีน,chiit vaksin,vaccinate,impfen,Alltag
นัด,nat,appointment,Termin,Alltag
เวลาว่าง,wela wang,free time,Freizeit,Alltag
ทำอาหารเช้า,tham ahaan chao,make breakfast,Fruehstueck machen,Alltag
อาหารเช้า,ahaan chao,breakfast,Fruehstueck,Alltag
อาหารกลางวัน,ahaan klang wan,lunch,Mittagessen,Alltag
อาหารเย็น,ahaan yen,dinner,Abendessen,Alltag
ห้องครัว,hong khrua,kitchen,Kueche,Alltag
ตู้เย็น,tu yen,fridge,Kuehlschrank,Alltag
เตา,tao,stove,Herd,Alltag
หม้อ,mo,pot,Topf,Alltag
กระทะ,kratha,pan,Pfanne,Alltag
มีด,miit,knife,Messer,Alltag
ช้อน,chon,spoon,Löffel,Alltag
ส้อม,som,fork,Gabel,Alltag
จาน,jaan,plate,Teller,Alltag
แก้ว,kaeo,glass,Glas,Alltag
ขวด,khuat,bottle,Flasche,Alltag
น้ำตาล,namtan,sugar,Zucker,Alltag
เกลือ,kluea,salt,Salz,Alltag
พริก,phrik,chili,Chili,Alltag
ข้าวเหนียว,khao niao,sticky rice,Klebreis,Alltag
หมูปิ้ง,muu ping,grilled pork,Schweinspiess,Alltag
ไก่ย่าง,kai yang,grilled chicken,Grillhuhn,Alltag
ส้มตำ,som tam,papaya salad,Papayasalat,Alltag
น้ำปลา,nam plaa,fish sauce,Fischsauce,Alltag
ซอส,sot,sauce,Sauce,Alltag
เผ็ดนิดหน่อย,phet nit noi,a little spicy,leicht scharf,Alltag
ไม่หวาน,mai waan,not sweet,nicht suess,Alltag
เพิ่มน้ำแข็ง,phoem nam khaeng,add ice,mehr Eis,Alltag
ใส่ถุง,sai thung,put in a bag,in die Tuete,Alltag
กลับไป,klap bpai,go back,zurueck gehen,Alltag
ไปต่อ,bpai to,continue,weitergehen,Alltag
รอแป๊บ,ro paep,wait a sec,kurz warten,Alltag
เดี๋ยวนี้,diao nii,right now,sofort,Alltag
เดี๋ยว,diao,later/in a moment,gleich/spaeter,Alltag
โอเคครับ/ค่ะ,ok khrap/kha,okay (polite),ok,Alltag
ตู้เสื้อผ้า,tu suea phaa,wardrobe,Kleiderschrank,Alltag
ผ้าห่ม,phaa hom,blanket,Decke,Alltag
หมอน,mon,pillow,Kissen,Alltag
พัดลม,phat lom,fan,Ventilator,Alltag
แอร์,ae,aircon,Klimaanlage,Alltag
ปลั๊ก,plak,plug,Stecker,Alltag
สายชาร์จ,sai chaart,charger cable,Ladekabel,Alltag
แบตเตอรี่,baet dterii,battery,Batterie,Alltag
รูปแบบ,ruup baep,format,Format,Alltag
ไฟล์,file,file,Datei,Alltag
บันทึก,banthuek,save (file),speichern,Alltag
ลบ,lop,delete,loeschen,Alltag
ดาวน์โหลด,download,download,downloaden,Alltag
อัปโหลด,upload,upload,uploaden,Alltag
อีเมล,email,email,E-Mail,Alltag
ที่นั่ง,thii nang,seat,Sitzplatz,Alltag
คิว,khiu,queue,Warteschlange,Alltag
รอคิว,ro khiu,queue up,anstehen,Alltag
เปิดหน้าต่าง,poet naa taang,open window,Fenster oeffnen,Alltag
ปิดหน้าต่าง,pit naa taang,close window,Fenster schliessen,Alltag
ซ่อม,som,repair,reparieren,Alltag
พัง,phang,broken,kaputt,Alltag
สะอาด,sa-aat,clean,sauber,Alltag
สกปรก,sa-kaprok,dirty,dreckig,Alltag
กวาด,kwaat,sweep,fegen,Alltag
ถูพื้น,thuu pheun,mop floor,Boden wischen,Alltag
ขยะ,khaya,trash,Muell,Alltag
ถังขยะ,thang khaya,trash bin,Muelleimer,Alltag
กด,kot,press,druecken,Alltag
ส่ง,song,send,senden,Alltag
รับ,rap,receive,empfangen,Alltag
เปิดเพลง,poet phleng,play music,Musik anmachen,Alltag
ปิดเสียง,pit siang,mute,stummschalten,Alltag
ดัง,dang,loud,laut,Alltag
เบา,bao,quiet/soft,leise,Alltag
เร็ว,reo,fast,schnell,Alltag
ช้า,cha,slow,langsam,Alltag
พรุ่งนี้เช้า,phrung nii chao,tomorrow morning,morgen frueh,Alltag
คืนนี้,khuen nii,tonight,heute Nacht,Alltag
เช้าวันนี้,chao wan nii,this morning,heute Morgen,Alltag
วันหยุด,wan yut,holiday,Feiertag,Alltag
ทำงานบ้าน,tham ngaan baan,housework,Hausarbeit,Alltag
ตลาดสด,talat sot,fresh market,Frischmarkt,Alltag
ของกิน,khong gin,snacks/food,Essen/Snacks,Alltag
น้ำดื่ม,nam duem,drinking water,Trinkwasser,Alltag
ขนม,khanom,snack/sweet,Suessigkeit,Alltag
ผลไม้,phonlamai,fruit,Obst,Alltag
ผัก,phak,vegetables,Gemuese,Alltag
เนื้อ,nuea,beef/meat,Fleisch,Alltag
ขนมปัง,khanom pang,bread,Brot,Alltag
เนย,noei,butter,Butter,Alltag
กาแฟเย็น,kaafae yen,iced coffee,Eiskaffee,Alltag
ชานม,chaa nom,milk tea,Milchtee,Alltag
น้ำเปล่า,nam plao,plain water,stilles Wasser,Alltag
น้ำอัดลม,nam at lom,soft drink,Cola,Alltag
เบียร์,bia,beer,Bier,Alltag
ไวน์,wain,wine,Wein,Alltag
ขับช้าๆ,khap cha cha,drive slowly,bitte langsam fahren,Alltag
หยุดตรงนี้,yut trong nii,stop here,hier anhalten,Alltag
เลี้ยวซ้าย,liao sai,turn left,links abbiegen,Alltag
เลี้ยวขวา,liao khwa,turn right,rechts abbiegen,Alltag
